Tweet,Sentimen,Emosi,clean,tokens,filtered,stemmed,final_text
"Sah.. Cegah Covid-19 Meluas, Pemerintah Revisi Hari Libur dan Cuti Bersama 2020",1.0,2,sah cegah covid meluas pemerintah revisi hari libur dan cuti bersama ,"['sah', 'cegah', 'covid', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama']","['sah', 'cegah', 'covid', 'meluas', 'pemerintah', 'revisi', 'libur', 'cuti']","['sah', 'cegah', 'covid', 'luas', 'perintah', 'revisi', 'libur', 'cuti']",sah cegah covid luas perintah revisi libur cuti
Bencana Nasional Covid-19; DPRD Indramayu Minta BUMD Beri Keringanan Tagihan Kredit hingga Tagihan PDAM |,1.0,2,bencana nasional covid dprd indramayu minta bumd beri keringanan tagihan kredit hingga tagihan pdam ,"['bencana', 'nasional', 'covid', 'dprd', 'indramayu', 'minta', 'bumd', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'pdam']","['bencana', 'nasional', 'covid', 'dprd', 'indramayu', 'bumd', 'keringanan', 'tagihan', 'kredit', 'tagihan', 'pdam']","['bencana', 'nasional', 'covid', 'dprd', 'indramayu', 'bumd', 'ringan', 'tagih', 'kredit', 'tagih', 'pdam']",bencana nasional covid dprd indramayu bumd ringan tagih kredit tagih pdam
"Cegah Covid-19, Pemprov dan FKUB Papua Barat Sepakat Adakan Doa Bersama Serentak. OPM",1.0,-1,cegah covid pemprov dan fkub papua barat sepakat adakan doa bersama serentak opm,"['cegah', 'covid', 'pemprov', 'dan', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'opm']","['cegah', 'covid', 'pemprov', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'serentak', 'opm']","['cegah', 'covid', 'pemprov', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'serentak', 'opm']",cegah covid pemprov fkub papua barat sepakat adakan doa serentak opm
"pagi... kenapa ya di daerah sy (cipinang besar selatan) rt 7 rw 6 nya tdk prnh aware dgn warganya. Setiap ada bantuan tidak pernah transparansi &amp; kejadian covid ini jg tidak ada tindakan semprot disinfektan, dbd jg banyak tp tidak ada fogging. Tp uang kas ttp jalan",1.0,-2,pagi kenapa ya di daerah sy cipinang besar selatan rt  rw  nya tdk prnh aware dgn warganya setiap ada bantuan tidak pernah transparansi amp kejadian covid ini jg tidak ada tindakan semprot disinfektan dbd jg banyak tp tidak ada fogging tp uang kas ttp jalan,"['pagi', 'kenapa', 'ya', 'di', 'daerah', 'sy', 'cipinang', 'besar', 'selatan', 'rt', 'rw', 'nya', 'tdk', 'prnh', 'aware', 'dgn', 'warganya', 'setiap', 'ada', 'bantuan', 'tidak', 'pernah', 'transparansi', 'amp', 'kejadian', 'covid', 'ini', 'jg', 'tidak', 'ada', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'banyak', 'tp', 'tidak', 'ada', 'fogging', 'tp', 'uang', 'kas', 'ttp', 'jalan']","['pagi', 'ya', 'daerah', 'sy', 'cipinang', 'selatan', 'rt', 'rw', 'nya', 'tdk', 'prnh', 'aware', 'dgn', 'warganya', 'bantuan', 'transparansi', 'amp', 'kejadian', 'covid', 'jg', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'tp', 'fogging', 'tp', 'uang', 'kas', 'ttp', 'jalan']","['pagi', 'ya', 'daerah', 'sy', 'cipinang', 'selatan', 'rt', 'rw', 'nya', 'tdk', 'prnh', 'aware', 'dgn', 'warga', 'bantu', 'transparansi', 'amp', 'jadi', 'covid', 'jg', 'tindak', 'semprot', 'disinfektan', 'dbd', 'jg', 'tp', 'fogging', 'tp', 'uang', 'kas', 'ttp', 'jalan']",pagi ya daerah sy cipinang selatan rt rw nya tdk prnh aware dgn warga bantu transparansi amp jadi covid jg tindak semprot disinfektan dbd jg tp fogging tp uang kas ttp jalan
Skrinews - Pdt. JIMMY: MARI BERSAMA MEMERANGI VIRUS CORONA (COVID-19) DEMI MENJAGA TANAH PAPUA,1.0,2,skrinews  pdt jimmy mari bersama memerangi virus corona covid demi menjaga tanah papua,"['skrinews', 'pdt', 'jimmy', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'covid', 'demi', 'menjaga', 'tanah', 'papua']","['skrinews', 'pdt', 'jimmy', 'mari', 'memerangi', 'virus', 'corona', 'covid', 'menjaga', 'tanah', 'papua']","['skrinews', 'pdt', 'jimmy', 'mari', 'rang', 'virus', 'corona', 'covid', 'jaga', 'tanah', 'papua']",skrinews pdt jimmy mari rang virus corona covid jaga tanah papua
"Ada 15 cara menyuruh Covid-19 segera pergi, Jaga kebersihan dan ketertiban. Bukankah Covid-19 telah mendidik kita agar selalu menjaga kebersihan badan, pakaian, barang dan lingkungan dengan rajin mandi, mencuci tangan, dan tidak sembarangan membuang sampah?",1.0,1,ada  cara menyuruh covid segera pergi jaga kebersihan dan ketertiban bukankah covid telah mendidik kita agar selalu menjaga kebersihan badan pakaian barang dan lingkungan dengan rajin mandi mencuci tangan dan tidak sembarangan membuang sampah,"['ada', 'cara', 'menyuruh', 'covid', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah']","['menyuruh', 'covid', 'pergi', 'jaga', 'kebersihan', 'ketertiban', 'covid', 'mendidik', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'lingkungan', 'rajin', 'mandi', 'mencuci', 'tangan', 'sembarangan', 'membuang', 'sampah']","['suruh', 'covid', 'pergi', 'jaga', 'bersih', 'tertib', 'covid', 'didik', 'jaga', 'bersih', 'badan', 'pakai', 'barang', 'lingkung', 'rajin', 'mandi', 'cuci', 'tangan', 'sembarang', 'buang', 'sampah']",suruh covid pergi jaga bersih tertib covid didik jaga bersih badan pakai barang lingkung rajin mandi cuci tangan sembarang buang sampah
"Kementerian Agama Provinsi Papua Barat, Azis Hegemur mengatakan, Umat Islam di Provinsi Papua Barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit Covid-19. OPM",1.0,1,kementerian agama provinsi papua barat azis hegemur mengatakan umat islam di provinsi papua barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit covid opm,"['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'opm']","['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'umat', 'islam', 'provinsi', 'papua', 'barat', 'diimbau', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'opm']","['menteri', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'umat', 'islam', 'provinsi', 'papua', 'barat', 'imbau', 'tolak', 'makam', 'jenazah', 'pasien', 'positif', 'jangkit', 'covid', 'opm']",menteri agama provinsi papua barat azis hegemur umat islam provinsi papua barat imbau tolak makam jenazah pasien positif jangkit covid opm
"Aku baru bangun tidur, dan menyeruput kopi sedikit. Ketika ibuk mencak2 gak karuan. Satu orang pahlawan garis depan Covid-19 meninggal dunia dan ditolak warga setempat. Mungkin lebih tepatnya sekolompok warga yang kurang edukasi.",1.0,-2,aku baru bangun tidur dan menyeruput kopi sedikit ketika ibuk mencak gak karuan satu orang pahlawan garis depan covid meninggal dunia dan ditolak warga setempat mungkin lebih tepatnya sekolompok warga yang kurang edukasi,"['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak', 'gak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi']","['bangun', 'tidur', 'menyeruput', 'kopi', 'ibuk', 'mencak', 'gak', 'karuan', 'orang', 'pahlawan', 'garis', 'covid', 'meninggal', 'dunia', 'ditolak', 'warga', 'tepatnya', 'sekolompok', 'warga', 'edukasi']","['bangun', 'tidur', 'seruput', 'kopi', 'ibuk', 'mencak', 'gak', 'karuan', 'orang', 'pahlawan', 'garis', 'covid', 'tinggal', 'dunia', 'tolak', 'warga', 'tepat', 'sekolompok', 'warga', 'edukasi']",bangun tidur seruput kopi ibuk mencak gak karuan orang pahlawan garis covid tinggal dunia tolak warga tepat sekolompok warga edukasi
Jangan mudik dong! Ancaman penyebaran COVID-19 yang lebih luas. - Tandatangani Petisi! via,1.0,1,jangan mudik dong ancaman penyebaran covid yang lebih luas  tandatangani petisi via,"['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via']","['mudik', 'ancaman', 'penyebaran', 'covid', 'luas', 'tandatangani', 'petisi', 'via']","['mudik', 'ancam', 'sebar', 'covid', 'luas', 'tandatangani', 'petisi', 'via']",mudik ancam sebar covid luas tandatangani petisi via
"Berita seperti ini tidak akan ditengok oleh Muflis DUNGU Kecuali berita HOAX macam kudeta MBS, 150 pangeran kena COVID-19 yg sumbernya sama dari kaum LIBERAL",-1.0,-2,berita seperti ini tidak akan ditengok oleh muflis dungu kecuali berita hoax macam kudeta mbs  pangeran kena covid yg sumbernya sama dari kaum liberal,"['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'hoax', 'macam', 'kudeta', 'mbs', 'pangeran', 'kena', 'covid', 'yg', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal']","['berita', 'ditengok', 'muflis', 'dungu', 'kecuali', 'berita', 'hoax', 'kudeta', 'mbs', 'pangeran', 'kena', 'covid', 'yg', 'sumbernya', 'kaum', 'liberal']","['berita', 'tengok', 'muflis', 'dungu', 'kecuali', 'berita', 'hoax', 'kudeta', 'mbs', 'pangeran', 'kena', 'covid', 'yg', 'sumber', 'kaum', 'liberal']",berita tengok muflis dungu kecuali berita hoax kudeta mbs pangeran kena covid yg sumber kaum liberal
Giat Bhabinkamtibmas Polsek Tamalatea bersama Aparatur Desa Kareloe dan Relawan melakukan penyemprotan Disinfektan untuk mencegah penyebaran Virus Covid-19,1.0,1,giat bhabinkamtibmas polsek tamalatea bersama aparatur desa kareloe dan relawan melakukan penyemprotan disinfektan untuk mencegah penyebaran virus covid,"['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid']","['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'aparatur', 'desa', 'kareloe', 'relawan', 'penyemprotan', 'disinfektan', 'mencegah', 'penyebaran', 'virus', 'covid']","['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'aparatur', 'desa', 'kareloe', 'rawan', 'semprot', 'disinfektan', 'cegah', 'sebar', 'virus', 'covid']",giat bhabinkamtibmas polsek tamalatea aparatur desa kareloe rawan semprot disinfektan cegah sebar virus covid
"Temanggung, Jawa Tengah...anggota gugus tugas covid 19 kelurahan mungseng, temanggung...mau tak bagiin di posko...",-1.0,2,temanggung jawa tengahanggota gugus tugas covid  kelurahan mungseng temanggungmau tak bagiin di posko,"['temanggung', 'jawa', 'tengahanggota', 'gugus', 'tugas', 'covid', 'kelurahan', 'mungseng', 'temanggungmau', 'tak', 'bagiin', 'di', 'posko']","['temanggung', 'jawa', 'tengahanggota', 'gugus', 'tugas', 'covid', 'kelurahan', 'mungseng', 'temanggungmau', 'bagiin', 'posko']","['tanggung', 'jawa', 'tengahanggota', 'gugus', 'tugas', 'covid', 'lurah', 'mungseng', 'temanggungmau', 'bagiin', 'posko']",tanggung jawa tengahanggota gugus tugas covid lurah mungseng temanggungmau bagiin posko
Profil Operasional Bandara AP II di Tengah Pandemi COVID-19,0.0,1,profil operasional bandara ap ii di tengah pandemi covid,"['profil', 'operasional', 'bandara', 'ap', 'ii', 'di', 'tengah', 'pandemi', 'covid']","['profil', 'operasional', 'bandara', 'ap', 'ii', 'pandemi', 'covid']","['profil', 'operasional', 'bandara', 'ap', 'ii', 'pandemi', 'covid']",profil operasional bandara ap ii pandemi covid
"Btw long weekend ni pada mau kemana... Dulu sebelum ada nya si covid 19 ini long weekend itu yang paling di nanti .., eh skrng mah beneran panjang libur nya di kasih enak dirumah malah ngedumel bae (DASAR AKU)",0.0,-1,btw long weekend ni pada mau kemana dulu sebelum ada nya si covid  ini long weekend itu yang paling di nanti  eh skrng mah beneran panjang libur nya di kasih enak dirumah malah ngedumel bae dasar aku,"['btw', 'long', 'weekend', 'ni', 'pada', 'mau', 'kemana', 'dulu', 'sebelum', 'ada', 'nya', 'si', 'covid', 'ini', 'long', 'weekend', 'itu', 'yang', 'paling', 'di', 'nanti', 'eh', 'skrng', 'mah', 'beneran', 'panjang', 'libur', 'nya', 'di', 'kasih', 'enak', 'dirumah', 'malah', 'ngedumel', 'bae', 'dasar', 'aku']","['btw', 'long', 'weekend', 'ni', 'kemana', 'nya', 'si', 'covid', 'long', 'weekend', 'eh', 'skrng', 'mah', 'beneran', 'libur', 'nya', 'kasih', 'enak', 'dirumah', 'ngedumel', 'bae', 'dasar']","['btw', 'long', 'weekend', 'ni', 'mana', 'nya', 'si', 'covid', 'long', 'weekend', 'eh', 'skrng', 'mah', 'beneran', 'libur', 'nya', 'kasih', 'enak', 'rumah', 'ngedumel', 'bae', 'dasar']",btw long weekend ni mana nya si covid long weekend eh skrng mah beneran libur nya kasih enak rumah ngedumel bae dasar
Hallo dan mau laporkan adanya kegiatan yang melanggar ketentuan tentang jaga jarak selama wabah covid-19 kemana ya?,1.0,-2,hallo dan mau laporkan adanya kegiatan yang melanggar ketentuan tentang jaga jarak selama wabah covid kemana ya,"['hallo', 'dan', 'mau', 'laporkan', 'adanya', 'kegiatan', 'yang', 'melanggar', 'ketentuan', 'tentang', 'jaga', 'jarak', 'selama', 'wabah', 'covid', 'kemana', 'ya']","['hallo', 'laporkan', 'kegiatan', 'melanggar', 'ketentuan', 'jaga', 'jarak', 'wabah', 'covid', 'kemana', 'ya']","['hallo', 'lapor', 'giat', 'langgar', 'tentu', 'jaga', 'jarak', 'wabah', 'covid', 'mana', 'ya']",hallo lapor giat langgar tentu jaga jarak wabah covid mana ya
"Hei guys, gw mau ngajak kalian untuk agar pandemik covid-19 ini lekas hilang. Aamiin.Gimana?? Kurangin dah tuh nongki2, halan2, atau segala aktivitas diluar ruangan. Yuk belajar utbk aja, tau sendirikan pesaing lo tuh buanyak banget. Yok ",1.0,1,hei guys gw mau ngajak kalian untuk agar pandemik covid ini lekas hilang aamiingimana kurangin dah tuh nongki halan atau segala aktivitas diluar ruangan yuk belajar utbk aja tau sendirikan pesaing lo tuh buanyak banget yok ,"['hei', 'guys', 'gw', 'mau', 'ngajak', 'kalian', 'untuk', 'agar', 'pandemik', 'covid', 'ini', 'lekas', 'hilang', 'aamiingimana', 'kurangin', 'dah', 'tuh', 'nongki', 'halan', 'atau', 'segala', 'aktivitas', 'diluar', 'ruangan', 'yuk', 'belajar', 'utbk', 'aja', 'tau', 'sendirikan', 'pesaing', 'lo', 'tuh', 'buanyak', 'banget', 'yok']","['hei', 'guys', 'gw', 'ngajak', 'pandemik', 'covid', 'lekas', 'hilang', 'aamiingimana', 'kurangin', 'dah', 'tuh', 'nongki', 'halan', 'aktivitas', 'diluar', 'ruangan', 'yuk', 'belajar', 'utbk', 'aja', 'tau', 'sendirikan', 'pesaing', 'lo', 'tuh', 'buanyak', 'banget', 'yok']","['hei', 'guys', 'gw', 'ngajak', 'pandemik', 'covid', 'lekas', 'hilang', 'aamiingimana', 'rangin', 'dah', 'tuh', 'nongki', 'hal', 'aktivitas', 'luar', 'ruang', 'yuk', 'ajar', 'utbk', 'aja', 'tau', 'sendiri', 'saing', 'lo', 'tuh', 'buanyak', 'banget', 'yok']",hei guys gw ngajak pandemik covid lekas hilang aamiingimana rangin dah tuh nongki hal aktivitas luar ruang yuk ajar utbk aja tau sendiri saing lo tuh buanyak banget yok
JANGAN ADA DUSTA DIANTARA KITA: Kisah Pilu Dokter Menangani Pasien Yang Ternyata Positif Covid-19,1.0,-1,jangan ada dusta diantara kita kisah pilu dokter menangani pasien yang ternyata positif covid,"['jangan', 'ada', 'dusta', 'diantara', 'kita', 'kisah', 'pilu', 'dokter', 'menangani', 'pasien', 'yang', 'ternyata', 'positif', 'covid']","['dusta', 'kisah', 'pilu', 'dokter', 'menangani', 'pasien', 'positif', 'covid']","['dusta', 'kisah', 'pilu', 'dokter', 'tangan', 'pasien', 'positif', 'covid']",dusta kisah pilu dokter tangan pasien positif covid
COVID-19 Telah Bermutasi? Ada Gelombang Kedua Virus Corona,-1.0,1,covid telah bermutasi ada gelombang kedua virus corona,"['covid', 'telah', 'bermutasi', 'ada', 'gelombang', 'kedua', 'virus', 'corona']","['covid', 'bermutasi', 'gelombang', 'virus', 'corona']","['covid', 'mutasi', 'gelombang', 'virus', 'corona']",covid mutasi gelombang virus corona
Salam Jumaat.. Ya Allah kami menadah tangan minta keampunan pada mu dan berserah diri dengan mu dan berilah kekuatan dan kesihatan yang baik.. Jauhilah kami dari segala penyakit berjangkit covid 19 dan hamba mu yang sedang berjuang kesakitan yang berada di hospital..,1.0,-1,salam jumaat ya allah kami menadah tangan minta keampunan pada mu dan berserah diri dengan mu dan berilah kekuatan dan kesihatan yang baik jauhilah kami dari segala penyakit berjangkit covid  dan hamba mu yang sedang berjuang kesakitan yang berada di hospital,"['salam', 'jumaat', 'ya', 'allah', 'kami', 'menadah', 'tangan', 'minta', 'keampunan', 'pada', 'mu', 'dan', 'berserah', 'diri', 'dengan', 'mu', 'dan', 'berilah', 'kekuatan', 'dan', 'kesihatan', 'yang', 'baik', 'jauhilah', 'kami', 'dari', 'segala', 'penyakit', 'berjangkit', 'covid', 'dan', 'hamba', 'mu', 'yang', 'sedang', 'berjuang', 'kesakitan', 'yang', 'berada', 'di', 'hospital']","['salam', 'jumaat', 'ya', 'allah', 'menadah', 'tangan', 'keampunan', 'mu', 'berserah', 'mu', 'berilah', 'kekuatan', 'kesihatan', 'jauhilah', 'penyakit', 'berjangkit', 'covid', 'hamba', 'mu', 'berjuang', 'kesakitan', 'hospital']","['salam', 'jumaat', 'ya', 'allah', 'tadah', 'tangan', 'ampun', 'mu', 'serah', 'mu', 'ilah', 'kuat', 'kesihatan', 'jauh', 'sakit', 'jangkit', 'covid', 'hamba', 'mu', 'juang', 'sakit', 'hospital']",salam jumaat ya allah tadah tangan ampun mu serah mu ilah kuat kesihatan jauh sakit jangkit covid hamba mu juang sakit hospital
